bin_start,raw_count,bin_end,tp_rate,fp_rate,est_true,tag,station,position,period,status
2025-06-09 12:30:00,26,2025-06-09 13:00:00,0.03749999999999998,0.9625,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 13:00:00,52,2025-06-09 13:30:00,0.03749999999999998,0.9625,2,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 13:30:00,18,2025-06-09 14:00:00,0.03749999999999998,0.9625,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 14:00:00,32,2025-06-09 14:30:00,0.03749999999999998,0.9625,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 14:30:00,12,2025-06-09 15:00:00,0.03749999999999998,0.9625,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 15:00:00,884,2025-06-09 15:30:00,0.03749999999999998,0.9625,33,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 15:30:00,1066,2025-06-09 16:00:00,0.03749999999999998,0.9625,40,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 16:00:00,687,2025-06-09 16:30:00,0.03749999999999998,0.9625,26,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 16:30:00,352,2025-06-09 17:00:00,0.03749999999999998,0.9625,13,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 17:00:00,150,2025-06-09 17:30:00,0.03749999999999998,0.9625,6,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 17:30:00,4,2025-06-09 18:00:00,0.03749999999999998,0.9625,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 18:00:00,3,2025-06-09 18:30:00,0.20750000000000002,0.7925,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 18:30:00,2,2025-06-09 19:00:00,0.20750000000000002,0.7925,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 19:00:00,28,2025-06-09 19:30:00,0.20750000000000002,0.7925,6,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 19:30:00,41,2025-06-09 20:00:00,0.20750000000000002,0.7925,9,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 20:00:00,34,2025-06-09 20:30:00,0.20750000000000002,0.7925,7,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 20:30:00,25,2025-06-09 21:00:00,0.20750000000000002,0.7925,5,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 21:00:00,43,2025-06-09 21:30:00,0.20750000000000002,0.7925,9,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 21:30:00,92,2025-06-09 22:00:00,0.20750000000000002,0.7925,19,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 22:00:00,133,2025-06-09 22:30:00,0.20750000000000002,0.7925,28,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 22:30:00,81,2025-06-09 23:00:00,0.20750000000000002,0.7925,17,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 23:00:00,63,2025-06-09 23:30:00,0.20750000000000002,0.7925,13,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-09 23:30:00,65,2025-06-10 00:00:00,0.20750000000000002,0.7925,13,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 00:00:00,65,2025-06-10 00:30:00,0.5425,0.4575,35,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 00:30:00,24,2025-06-10 01:00:00,0.5425,0.4575,13,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 01:00:00,37,2025-06-10 01:30:00,0.5425,0.4575,20,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 01:30:00,148,2025-06-10 02:00:00,0.5425,0.4575,80,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 02:00:00,92,2025-06-10 02:30:00,0.5425,0.4575,50,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 02:30:00,20,2025-06-10 03:00:00,0.5425,0.4575,11,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 03:00:00,21,2025-06-10 03:30:00,0.5425,0.4575,11,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 03:30:00,307,2025-06-10 04:00:00,0.5425,0.4575,167,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 04:00:00,27,2025-06-10 04:30:00,0.5425,0.4575,15,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 04:30:00,24,2025-06-10 05:00:00,0.5425,0.4575,13,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 05:00:00,22,2025-06-10 05:30:00,0.5425,0.4575,12,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 05:30:00,23,2025-06-10 06:00:00,0.5425,0.4575,12,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 06:00:00,7,2025-06-10 06:30:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 06:30:00,19,2025-06-10 07:00:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 07:00:00,19,2025-06-10 07:30:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 07:30:00,2,2025-06-10 08:00:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 08:00:00,21,2025-06-10 08:30:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 08:30:00,0,2025-06-10 09:00:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 09:00:00,2,2025-06-10 09:30:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 09:30:00,0,2025-06-10 10:00:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 10:00:00,11,2025-06-10 10:30:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 10:30:00,7,2025-06-10 11:00:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 11:00:00,4,2025-06-10 11:30:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 11:30:00,0,2025-06-10 12:00:00,0.0,1.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 12:00:00,0,2025-06-10 12:30:00,0.4776632302405498,0.5223367697594502,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 12:30:00,0,2025-06-10 13:00:00,0.4776632302405498,0.5223367697594502,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 13:00:00,2,2025-06-10 13:30:00,0.4776632302405498,0.5223367697594502,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 13:30:00,0,2025-06-10 14:00:00,0.4776632302405498,0.5223367697594502,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 14:00:00,2,2025-06-10 14:30:00,0.4776632302405498,0.5223367697594502,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 14:30:00,0,2025-06-10 15:00:00,0.4776632302405498,0.5223367697594502,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 15:00:00,25,2025-06-10 15:30:00,0.4776632302405498,0.5223367697594502,12,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 15:30:00,75,2025-06-10 16:00:00,0.4776632302405498,0.5223367697594502,36,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 16:00:00,162,2025-06-10 16:30:00,0.4776632302405498,0.5223367697594502,77,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 16:30:00,25,2025-06-10 17:00:00,0.4776632302405498,0.5223367697594502,12,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 17:00:00,0,2025-06-10 17:30:00,0.4776632302405498,0.5223367697594502,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 17:30:00,0,2025-06-10 18:00:00,0.4776632302405498,0.5223367697594502,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 18:00:00,0,2025-06-10 18:30:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 18:30:00,1,2025-06-10 19:00:00,0.7777777777777778,0.2222222222222222,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 19:00:00,0,2025-06-10 19:30:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 19:30:00,0,2025-06-10 20:00:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 20:00:00,0,2025-06-10 20:30:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 20:30:00,0,2025-06-10 21:00:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 21:00:00,0,2025-06-10 21:30:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 21:30:00,0,2025-06-10 22:00:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 22:00:00,0,2025-06-10 22:30:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 22:30:00,1,2025-06-10 23:00:00,0.7777777777777778,0.2222222222222222,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 23:00:00,0,2025-06-10 23:30:00,0.7777777777777778,0.2222222222222222,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-10 23:30:00,7,2025-06-11 00:00:00,0.7777777777777778,0.2222222222222222,5,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 00:00:00,7,2025-06-11 00:30:00,1.0,0.0,7,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 00:30:00,4,2025-06-11 01:00:00,1.0,0.0,4,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 01:00:00,0,2025-06-11 01:30:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 01:30:00,0,2025-06-11 02:00:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 02:00:00,0,2025-06-11 02:30:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 02:30:00,0,2025-06-11 03:00:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 03:00:00,0,2025-06-11 03:30:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 03:30:00,0,2025-06-11 04:00:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 04:00:00,0,2025-06-11 04:30:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 04:30:00,0,2025-06-11 05:00:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 05:00:00,0,2025-06-11 05:30:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 05:30:00,0,2025-06-11 06:00:00,1.0,0.0,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 06:00:00,4,2025-06-11 06:30:00,0.4590163934426229,0.5409836065573771,2,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 06:30:00,0,2025-06-11 07:00:00,0.4590163934426229,0.5409836065573771,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 07:00:00,22,2025-06-11 07:30:00,0.4590163934426229,0.5409836065573771,10,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 07:30:00,0,2025-06-11 08:00:00,0.4590163934426229,0.5409836065573771,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 08:00:00,2,2025-06-11 08:30:00,0.4590163934426229,0.5409836065573771,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 08:30:00,5,2025-06-11 09:00:00,0.4590163934426229,0.5409836065573771,2,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 09:00:00,0,2025-06-11 09:30:00,0.4590163934426229,0.5409836065573771,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 09:30:00,1,2025-06-11 10:00:00,0.4590163934426229,0.5409836065573771,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 10:00:00,13,2025-06-11 10:30:00,0.4590163934426229,0.5409836065573771,6,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 10:30:00,14,2025-06-11 11:00:00,0.4590163934426229,0.5409836065573771,6,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 11:00:00,0,2025-06-11 11:30:00,0.4590163934426229,0.5409836065573771,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 11:30:00,0,2025-06-11 12:00:00,0.4590163934426229,0.5409836065573771,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 12:00:00,9,2025-06-11 12:30:00,0.42500000000000004,0.575,4,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 12:30:00,4,2025-06-11 13:00:00,0.42500000000000004,0.575,2,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 13:00:00,1,2025-06-11 13:30:00,0.42500000000000004,0.575,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 13:30:00,10,2025-06-11 14:00:00,0.42500000000000004,0.575,4,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 14:00:00,15,2025-06-11 14:30:00,0.42500000000000004,0.575,6,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 14:30:00,1,2025-06-11 15:00:00,0.42500000000000004,0.575,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 15:00:00,0,2025-06-11 15:30:00,0.42500000000000004,0.575,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 15:30:00,185,2025-06-11 16:00:00,0.42500000000000004,0.575,79,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 16:00:00,71,2025-06-11 16:30:00,0.42500000000000004,0.575,30,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 16:30:00,355,2025-06-11 17:00:00,0.42500000000000004,0.575,151,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 17:00:00,64,2025-06-11 17:30:00,0.42500000000000004,0.575,27,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 17:30:00,22,2025-06-11 18:00:00,0.42500000000000004,0.575,9,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 18:00:00,151,2025-06-11 18:30:00,0.16077170418006426,0.8392282958199357,24,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 18:30:00,7,2025-06-11 19:00:00,0.16077170418006426,0.8392282958199357,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 19:00:00,5,2025-06-11 19:30:00,0.16077170418006426,0.8392282958199357,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 19:30:00,0,2025-06-11 20:00:00,0.16077170418006426,0.8392282958199357,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 20:00:00,0,2025-06-11 20:30:00,0.16077170418006426,0.8392282958199357,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 20:30:00,2,2025-06-11 21:00:00,0.16077170418006426,0.8392282958199357,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 21:00:00,5,2025-06-11 21:30:00,0.16077170418006426,0.8392282958199357,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 21:30:00,12,2025-06-11 22:00:00,0.16077170418006426,0.8392282958199357,2,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 22:00:00,2,2025-06-11 22:30:00,0.16077170418006426,0.8392282958199357,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 22:30:00,10,2025-06-11 23:00:00,0.16077170418006426,0.8392282958199357,2,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 23:00:00,5,2025-06-11 23:30:00,0.16077170418006426,0.8392282958199357,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-11 23:30:00,112,2025-06-12 00:00:00,0.16077170418006426,0.8392282958199357,18,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 00:00:00,34,2025-06-12 00:30:00,0.36363636363636365,0.6363636363636364,12,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 00:30:00,3,2025-06-12 01:00:00,0.36363636363636365,0.6363636363636364,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 01:00:00,2,2025-06-12 01:30:00,0.36363636363636365,0.6363636363636364,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 01:30:00,29,2025-06-12 02:00:00,0.36363636363636365,0.6363636363636364,11,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 02:00:00,26,2025-06-12 02:30:00,0.36363636363636365,0.6363636363636364,9,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 02:30:00,7,2025-06-12 03:00:00,0.36363636363636365,0.6363636363636364,3,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 03:00:00,1,2025-06-12 03:30:00,0.36363636363636365,0.6363636363636364,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 03:30:00,2,2025-06-12 04:00:00,0.36363636363636365,0.6363636363636364,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 04:00:00,2,2025-06-12 04:30:00,0.36363636363636365,0.6363636363636364,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 04:30:00,0,2025-06-12 05:00:00,0.36363636363636365,0.6363636363636364,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 05:00:00,4,2025-06-12 05:30:00,0.36363636363636365,0.6363636363636364,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 05:30:00,0,2025-06-12 06:00:00,0.36363636363636365,0.6363636363636364,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 06:00:00,0,2025-06-12 06:30:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 06:30:00,4,2025-06-12 07:00:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 07:00:00,9,2025-06-12 07:30:00,0.10999999999999999,0.89,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 07:30:00,28,2025-06-12 08:00:00,0.10999999999999999,0.89,3,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 08:00:00,0,2025-06-12 08:30:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 08:30:00,10,2025-06-12 09:00:00,0.10999999999999999,0.89,1,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 09:00:00,0,2025-06-12 09:30:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 09:30:00,0,2025-06-12 10:00:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 10:00:00,0,2025-06-12 10:30:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 10:30:00,0,2025-06-12 11:00:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 11:00:00,1,2025-06-12 11:30:00,0.10999999999999999,0.89,0,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 11:30:00,859,2025-06-12 12:00:00,0.10999999999999999,0.89,94,250609_post,RFDO1,Downstream,Post-flood,no_net
2025-06-12 12:00:00,426,2025-06-12 12:30:00,0.36,0.64,153,250609_post,RFDO1,Downstream,Post-flood,normal
